customer_id,age,gender,city,tenure_months,plan_type,monthly_charges,payment_method,auto_renew,last_payment_status,avg_sessions_per_week,avg_session_duration,days_since_last_login,feature_usage_score,support_tickets,avg_ticket_resolution_days,complaints_flag,churn
CUST_00031,59,Male,Chennai,31,Basic,299,Credit Card,1,Success,5.91,8.86,8,89.53,0,4.2,0,0
CUST_00032,45,Male,Mumbai,36,Basic,799,NetBanking,0,Success,2.6,23.2,54,33.82,0,2.24,1,1
CUST_00033,33,Female,Mumbai,38,Standard,299,UPI,0,Success,0.16,31.48,32,60.32,2,2.31,0,1
CUST_00034,32,Female,Bangalore,27,Basic,799,Debit Card,1,Success,2.66,19.13,30,76.65,2,4.61,1,1
CUST_00035,64,Male,Delhi,36,Premium,299,Debit Card,1,Success,3.99,26.93,82,53.24,3,1.73,0,1
CUST_00036,61,Female,Mumbai,23,Standard,499,UPI,0,Success,0.82,18.98,53,94.91,0,1.5,0,1
CUST_00037,20,Male,Chennai,21,Premium,499,Debit Card,0,Success,1.02,13.95,60,51.97,0,1.32,1,1
CUST_00038,54,Female,Chennai,13,Premium,299,UPI,0,Failed,3.13,29.88,65,54,0,2.78,1,0
CUST_00039,24,Female,Mumbai,37,Basic,799,NetBanking,0,Success,2.1,35.45,19,38.53,1,6.09,0,0
CUST_00040,38,Male,Pune,47,Premium,499,NetBanking,1,Success,2.91,35.42,75,63.08,0,2.61,0,1
CUST_00041,26,Male,Pune,26,Standard,499,Credit Card,1,Success,3.09,22.59,84,0,2,1.05,1,1
CUST_00042,56,Female,Delhi,40,Standard,799,Debit Card,1,Success,0.75,3.24,60,55.04,2,2.06,0,1
CUST_00043,35,Female,Chennai,7,Premium,799,Debit Card,1,Success,1,25.88,35,85.38,2,2.3,0,1
CUST_00044,21,Female,Pune,46,Standard,499,Debit Card,0,Success,9.42,37.69,83,32.06,0,3.07,0,1
CUST_00045,42,Female,Chennai,39,Standard,799,UPI,0,Success,0.89,11.85,19,27.63,0,3.54,0,0
CUST_00046,31,Female,Delhi,22,Standard,299,NetBanking,1,Success,5.48,42.81,44,82.32,0,0.5,1,1
CUST_00047,26,Other,Delhi,39,Basic,299,Debit Card,1,Success,2.71,4.41,45,85.03,2,1.16,0,1
CUST_00048,43,Female,Pune,23,Basic,499,Credit Card,1,Failed,17.25,28.97,17,32.89,1,1.05,0,0
CUST_00049,19,Female,Mumbai,30,Standard,299,Debit Card,0,Failed,0.34,33.3,69,94.65,1,4.53,0,0
CUST_00050,37,Male,Hyderabad,18,Basic,499,Credit Card,0,Success,8.87,39.68,73,68.65,0,1.48,0,1
CUST_00051,45,Male,Bangalore,42,Basic,299,Debit Card,0,Success,3.38,29.59,17,80.97,1,3.42,0,0
CUST_00052,64,Female,Hyderabad,18,Basic,499,Debit Card,1,Success,0.03,21.75,63,44.16,0,3.7,0,1
CUST_00053,24,Male,Hyderabad,46,Standard,799,NetBanking,1,Success,1.53,26.68,33,89.78,1,2.24,0,1
CUST_00054,61,Female,Chennai,10,Basic,499,Credit Card,1,Success,2.62,18.18,78,54.64,2,0.5,0,1
CUST_00055,25,Female,Delhi,39,Premium,799,Debit Card,1,Failed,1.89,5.1,2,53.76,2,4.76,0,0
CUST_00056,64,Female,Chennai,30,Basic,799,Credit Card,1,Success,2.25,22.58,71,69.65,0,4.97,0,1
CUST_00057,52,Male,Pune,26,Standard,299,Credit Card,1,Success,12.42,29.91,10,52.16,1,2.97,1,0
CUST_00058,31,Male,Bangalore,7,Standard,299,NetBanking,0,Failed,2.24,35.26,45,29.59,1,1.97,0,0
CUST_00059,34,Male,Pune,7,Standard,299,NetBanking,1,Success,2.71,20.14,41,62.64,2,5.69,1,1
CUST_00060,53,Male,Mumbai,5,Basic,799,Credit Card,1,Success,7.16,39.77,16,53.64,1,1.93,0,0
CUST_00061,57,Male,Bangalore,1,Premium,299,NetBanking,0,Failed,7.9,23.32,46,44.64,1,4.19,1,0
CUST_00062,21,Female,Chennai,46,Premium,299,Debit Card,1,Success,0.44,29.79,29,84.81,1,0.76,0,0
CUST_00063,19,Female,Chennai,18,Premium,799,Debit Card,1,Success,6.09,32.46,42,100,1,3.69,0,1
CUST_00064,23,Female,Pune,13,Premium,499,NetBanking,1,Success,3.29,25.53,7,41.62,2,1.05,0,0
CUST_00065,59,Female,Chennai,25,Standard,299,Credit Card,1,Success,0.72,24.09,39,63.95,7,3.57,0,1
CUST_00066,21,Male,Chennai,40,Standard,299,Debit Card,1,Success,1.54,40.57,70,52.03,1,3.01,0,1
CUST_00067,46,Female,Hyderabad,8,Standard,799,UPI,1,Success,0.23,8.01,19,100,0,2.45,1,0
CUST_00068,35,Female,Mumbai,10,Standard,799,Credit Card,0,Success,2.23,25.42,75,69.83,0,2.41,0,1
CUST_00069,43,Male,Hyderabad,32,Premium,299,Credit Card,1,Success,1.47,6.66,84,78.54,3,4.63,0,1
CUST_00070,61,Female,Chennai,17,Standard,499,UPI,1,Success,2.41,7.02,27,83.64,1,2.87,0,0
CUST_00071,51,Male,Delhi,38,Premium,799,UPI,1,Failed,4.34,24.47,27,62.6,1,3.59,0,0
CUST_00072,27,Female,Hyderabad,15,Basic,799,Credit Card,1,Success,6.59,19.74,58,56.27,2,7.27,0,1
CUST_00073,53,Other,Chennai,15,Premium,799,UPI,1,Success,4.65,45.79,61,90.38,1,1.12,0,1
CUST_00074,31,Male,Chennai,40,Standard,499,NetBanking,0,Success,5.67,22.47,79,75.56,0,1.84,0,1
CUST_00075,48,Female,Mumbai,20,Standard,799,NetBanking,0,Failed,10.04,36.35,73,43.08,2,0.52,1,0
CUST_00076,32,Female,Pune,15,Basic,299,Credit Card,1,Success,10.35,25.52,53,45.52,1,0.5,1,1
CUST_00077,25,Other,Bangalore,35,Premium,299,NetBanking,1,Failed,9.86,12.98,85,52.21,2,5.86,0,0
CUST_00078,31,Male,Hyderabad,6,Premium,499,Debit Card,1,Success,0.83,7.37,6,83.18,0,2.37,0,0
CUST_00079,40,Female,Hyderabad,30,Basic,499,NetBanking,1,Success,1.45,11.36,67,89.47,2,0.5,0,1
CUST_00080,57,Male,Hyderabad,8,Standard,799,NetBanking,1,Success,3.49,28.28,23,100,0,2.58,0,0
CUST_00081,38,Male,Chennai,31,Basic,299,UPI,1,Success,2.22,40.97,40,45.83,1,2.26,0,1
CUST_00082,33,Male,Mumbai,47,Premium,799,NetBanking,0,Success,0.71,15.86,53,62.8,1,1.43,0,1
CUST_00083,62,Other,Chennai,32,Standard,299,Credit Card,1,Success,1.7,33.38,13,52,0,2.34,0,0
CUST_00084,35,Female,Chennai,45,Basic,499,NetBanking,0,Success,18.53,23.18,43,56.35,2,3.24,1,1
CUST_00085,64,Female,Pune,15,Basic,299,NetBanking,0,Success,2.13,14.35,48,78.6,0,2.38,0,1
CUST_00086,41,Female,Delhi,18,Standard,499,Credit Card,1,Success,2.71,28.55,62,59.08,2,4.28,0,1
CUST_00087,43,Male,Mumbai,13,Basic,499,Credit Card,0,Success,0.03,40.91,80,86.32,2,2.91,0,1
CUST_00088,42,Male,Hyderabad,24,Standard,299,UPI,0,Success,6.35,24.25,44,49.67,4,3.02,0,1
CUST_00089,62,Male,Bangalore,40,Premium,299,Debit Card,0,Success,2.67,33.3,71,74.83,2,2.71,1,1
CUST_00090,58,Male,Hyderabad,14,Premium,499,NetBanking,0,Success,0.54,28.09,76,51.14,2,1.15,1,1
CUST_00091,46,Male,Chennai,28,Basic,799,Debit Card,0,Success,17.3,28.1,6,23.26,2,1.21,1,0
CUST_00092,32,Male,Mumbai,11,Premium,299,UPI,1,Success,7.51,16.97,2,39.57,0,3.18,1,0
CUST_00093,62,Male,Mumbai,6,Standard,299,Credit Card,1,Success,6.48,29.91,87,62.48,1,1.86,0,1
CUST_00094,18,Male,Mumbai,25,Basic,299,Credit Card,1,Success,15.84,10.38,46,98.43,1,3.9,0,1
CUST_00095,42,Male,Delhi,1,Basic,799,Credit Card,1,Success,2.62,28.61,87,50.81,0,2.5,0,1
CUST_00096,24,Male,Hyderabad,25,Basic,299,UPI,1,Success,6.34,38.73,60,56.62,2,1.84,0,1
CUST_00097,26,Other,Delhi,2,Premium,299,NetBanking,1,Success,1.15,43.04,70,69.79,1,3.39,0,1
CUST_00098,41,Female,Pune,32,Basic,799,UPI,0,Success,5.97,14.58,29,48.01,3,3.04,0,0
CUST_00099,18,Other,Bangalore,13,Basic,499,Credit Card,0,Success,0.07,29.42,4,50.32,2,0.51,0,0
CUST_00100,61,Male,Pune,33,Premium,299,NetBanking,1,Failed,0.68,17.95,84,61.44,2,0.5,0,0
CUST_00101,25,Male,Chennai,32,Standard,799,Credit Card,1,Success,2.77,26.41,71,51.27,1,3.86,0,1
CUST_00102,41,Female,Delhi,24,Premium,499,Credit Card,1,Success,0.06,44.22,6,24.34,2,1.89,0,0
CUST_00103,28,Male,Delhi,27,Standard,499,UPI,1,Success,3.1,33.78,38,47,1,3.23,1,1
CUST_00104,34,Male,Pune,4,Basic,299,UPI,0,Success,3.7,18.48,1,72.3,2,3.35,1,0
CUST_00105,25,Male,Chennai,24,Premium,799,Debit Card,1,Success,4.86,17.91,42,72.92,2,4.8,1,1
CUST_00106,52,Male,Mumbai,23,Basic,299,Credit Card,1,Success,0.53,25.17,11,86.72,0,5.47,1,0
CUST_00107,52,Male,Chennai,29,Standard,299,NetBanking,1,Success,1,25.85,27,85.11,1,1.28,0,0
CUST_00108,50,Male,Hyderabad,34,Standard,299,Credit Card,1,Success,4.75,26.33,18,42,2,2.78,0,0
CUST_00109,22,Female,Pune,21,Basic,799,NetBanking,0,Success,5.37,10.11,27,45.09,2,2.81,0,0
CUST_00110,59,Male,Chennai,30,Premium,499,Debit Card,0,Success,0.13,44.99,75,45.97,0,5.28,0,1
CUST_00111,56,Male,Mumbai,26,Standard,499,Credit Card,0,Success,3.89,45.98,89,56.96,2,0.84,0,1
CUST_00112,58,Female,Chennai,20,Basic,299,NetBanking,0,Success,7.69,29.79,69,47.53,1,5.15,0,1
CUST_00113,45,Male,Delhi,16,Premium,499,NetBanking,0,Success,0.36,16.3,18,56.51,0,3.84,0,0
CUST_00114,24,Male,Bangalore,3,Standard,799,Debit Card,1,Success,2.67,18.73,63,42.56,1,2.18,0,1
CUST_00115,26,Female,Delhi,37,Standard,299,UPI,1,Success,1.98,15.58,8,75.69,4,4.31,0,0
CUST_00116,25,Male,Bangalore,40,Standard,799,Debit Card,1,Success,12.25,14.68,40,41.04,1,2.44,0,1
CUST_00117,29,Male,Chennai,44,Premium,299,NetBanking,1,Success,1.03,18.66,49,40.05,1,0.58,1,1
CUST_00118,51,Female,Hyderabad,25,Basic,799,Debit Card,0,Success,1.92,29.22,9,70.4,1,3.18,1,0
CUST_00119,50,Male,Chennai,23,Basic,299,UPI,0,Success,11.44,26.28,73,74.45,1,2.6,0,1
CUST_00120,40,Female,Mumbai,44,Standard,499,Credit Card,1,Success,2.01,40.24,81,55.5,2,2.27,1,1
CUST_00121,41,Female,Chennai,1,Basic,799,Debit Card,0,Success,3.79,9.77,53,77.38,1,1.81,0,1
CUST_00122,54,Male,Bangalore,33,Standard,799,Debit Card,1,Success,0.17,16.19,9,75.94,3,3.92,0,0
CUST_00123,52,Female,Delhi,15,Basic,299,Credit Card,1,Success,20.97,5,6,97.98,0,2.98,1,0
CUST_00124,61,Female,Hyderabad,17,Basic,499,Debit Card,1,Success,8.71,26.45,31,74.66,0,2.29,1,1
CUST_00125,57,Male,Chennai,34,Basic,299,UPI,1,Success,5.03,41.01,53,94.14,1,2.09,1,1
CUST_00126,39,Female,Chennai,17,Standard,799,NetBanking,0,Success,0.31,20.28,69,61.24,1,2.31,0,1
CUST_00127,44,Male,Delhi,41,Premium,499,Debit Card,1,Success,0.39,38.65,82,87.99,1,2.13,0,1
CUST_00128,52,Female,Hyderabad,44,Basic,299,Credit Card,0,Success,3.94,31.94,62,88.42,3,2.39,0,1
CUST_00129,18,Male,Pune,4,Standard,299,Credit Card,0,Success,1.68,33.67,33,57.15,4,4.09,1,1
CUST_00130,52,Male,Chennai,13,Basic,799,Debit Card,1,Success,4.87,30.86,42,46.23,3,2.44,0,1
CUST_00131,54,Male,Chennai,4,Standard,499,Credit Card,1,Success,4.56,43.03,4,49.75,1,3.23,0,0
CUST_00132,64,Female,Pune,7,Basic,299,NetBanking,1,Success,9.12,23,18,68.3,1,2.42,0,0
CUST_00133,31,Male,Bangalore,46,Standard,299,NetBanking,1,Success,1.65,31.87,53,37.01,1,0.5,0,1
CUST_00134,20,Male,Bangalore,9,Standard,299,Credit Card,1,Success,4.31,43.45,13,50.93,3,3.33,0,0
CUST_00135,18,Male,Mumbai,23,Premium,499,Debit Card,1,Failed,7.51,14.77,9,83.94,0,1.93,1,0
CUST_00136,22,Female,Delhi,33,Basic,799,Debit Card,1,Success,3.37,22.85,48,73.34,4,4,0,1
CUST_00137,43,Female,Hyderabad,33,Premium,799,Credit Card,1,Failed,8.88,30.75,10,12.95,0,5.48,1,0
CUST_00138,31,Female,Chennai,20,Standard,499,NetBanking,1,Failed,0.7,16.41,30,33.35,1,2.01,0,0
CUST_00139,56,Female,Chennai,4,Premium,799,NetBanking,1,Success,6.62,15.99,65,100,2,4.36,0,1
CUST_00140,44,Female,Mumbai,1,Basic,499,Debit Card,1,Success,14.32,45.3,9,83.59,0,2.38,0,0
CUST_00141,26,Male,Chennai,42,Basic,299,NetBanking,0,Success,2.02,16.88,20,48.34,2,2.54,0,0
CUST_00142,32,Female,Delhi,34,Premium,799,UPI,0,Success,2.28,21.34,0,30.23,2,3.57,0,0
CUST_00143,32,Female,Mumbai,27,Basic,299,NetBanking,1,Success,0.44,27.16,45,35.01,1,0.5,0,1
CUST_00144,43,Other,Delhi,21,Basic,299,Debit Card,1,Success,5.13,29.29,74,70.18,0,0.5,0,1
CUST_00145,59,Female,Mumbai,24,Basic,799,NetBanking,1,Success,4.02,19.55,73,99.54,1,3.09,0,1
CUST_00146,30,Male,Chennai,15,Premium,299,NetBanking,1,Success,0.21,22.92,19,98.27,2,0.5,0,0
CUST_00147,49,Male,Mumbai,35,Basic,799,Credit Card,0,Success,6.98,14.98,20,28.49,1,4.63,1,0
CUST_00148,56,Female,Bangalore,25,Premium,799,UPI,0,Success,8.84,19.46,36,54.08,0,5,0,1
CUST_00149,49,Female,Hyderabad,9,Standard,499,Credit Card,1,Success,11.88,31.95,13,42.86,2,3.53,0,0
CUST_00150,21,Female,Chennai,17,Basic,299,NetBanking,1,Success,3.95,34.06,57,62.74,1,2.8,0,1
CUST_00151,47,Female,Pune,21,Standard,299,NetBanking,1,Failed,3.01,35.18,56,33.38,1,4.66,0,0
CUST_00152,54,Female,Hyderabad,13,Basic,299,Credit Card,0,Success,10.44,24.95,56,49.08,1,2.3,0,1
CUST_00153,40,Male,Chennai,3,Standard,499,UPI,1,Failed,2.54,23.03,68,42.65,0,2.43,0,0
CUST_00154,56,Female,Hyderabad,4,Standard,799,Debit Card,1,Success,5.33,11.92,69,70.47,1,2.79,0,1
CUST_00155,62,Male,Bangalore,4,Standard,499,Credit Card,1,Success,4.78,21.44,23,49.7,2,1.76,0,0
CUST_00156,32,Male,Hyderabad,43,Basic,499,NetBanking,1,Success,2.33,26.73,79,52.58,0,4.94,0,1
CUST_00157,60,Male,Mumbai,28,Standard,499,NetBanking,1,Success,0.45,35.88,59,70.22,1,4.89,1,1
CUST_00158,46,Female,Hyderabad,7,Premium,499,Debit Card,1,Success,0.11,5.67,22,92.85,2,1.59,0,0
CUST_00159,53,Male,Chennai,26,Standard,799,NetBanking,1,Success,2.8,21.63,46,100,2,1.88,0,1
CUST_00160,30,Male,Pune,11,Premium,299,NetBanking,0,Success,3.28,2.34,37,69.12,1,2.48,1,1
CUST_00161,49,Female,Pune,24,Basic,799,Debit Card,1,Success,8.65,8.96,79,58.23,1,4.8,1,1
CUST_00162,24,Male,Delhi,43,Premium,499,NetBanking,0,Success,2.68,38.17,51,86.32,0,2.47,0,1
CUST_00163,39,Female,Hyderabad,10,Basic,299,NetBanking,1,Success,1.65,11.98,12,83.34,1,3.24,0,0
CUST_00164,45,Female,Pune,37,Basic,299,UPI,1,Success,3.1,26.08,7,77.64,1,1.4,0,0
CUST_00165,19,Female,Hyderabad,13,Premium,299,Credit Card,1,Success,1.36,35.26,31,28.41,2,5.28,0,1
CUST_00166,59,Female,Pune,44,Premium,499,UPI,0,Success,0.48,20.32,85,84.16,0,1.25,0,1
CUST_00167,62,Male,Hyderabad,42,Standard,299,UPI,0,Success,0.6,12.76,16,67.16,1,2.38,1,0
CUST_00168,23,Female,Chennai,39,Basic,799,NetBanking,0,Success,1.92,26.19,4,42.13,1,0.5,0,0
CUST_00169,45,Male,Hyderabad,19,Basic,499,Credit Card,0,Success,0.06,40.6,71,46.56,1,4.85,0,1
CUST_00170,45,Female,Chennai,19,Standard,799,Credit Card,0,Success,1.24,34.93,49,71.64,1,2.95,0,1
CUST_00171,61,Male,Chennai,12,Premium,299,NetBanking,1,Success,7.74,22.52,82,9.77,0,5.67,0,1
CUST_00172,61,Female,Delhi,22,Basic,299,UPI,1,Success,1.34,19.43,11,57.49,0,1.53,1,0
CUST_00173,37,Male,Pune,47,Premium,299,UPI,1,Success,0.59,36.56,88,46.9,2,4.57,0,1
CUST_00174,47,Male,Mumbai,37,Basic,299,UPI,0,Failed,14.89,10.39,43,44.86,1,3.59,1,0
CUST_00175,28,Male,Chennai,30,Premium,799,Credit Card,0,Success,4.87,34.37,76,50.86,1,1.81,1,1
CUST_00176,45,Male,Pune,46,Premium,299,NetBanking,0,Success,0.31,19.69,67,30.41,1,2.01,0,1
CUST_00177,42,Female,Bangalore,12,Standard,499,Credit Card,0,Success,0.32,10.13,58,81.05,2,3.82,0,1
CUST_00178,56,Male,Hyderabad,29,Basic,299,UPI,1,Success,4.74,7.33,9,17.44,2,2.94,0,0
CUST_00179,50,Female,Bangalore,21,Premium,499,Credit Card,0,Failed,3.88,41.35,47,63.39,0,1.97,0,0
CUST_00180,18,Other,Hyderabad,11,Standard,799,Credit Card,1,Failed,0.35,22.99,27,43.05,0,5.62,1,0
CUST_00181,44,Female,Delhi,37,Standard,499,NetBanking,1,Success,1.27,16.06,4,99.67,0,3.07,0,0
CUST_00182,30,Male,Chennai,18,Standard,499,NetBanking,1,Success,13.23,24.56,43,60.45,3,2.44,0,1
CUST_00183,58,Male,Mumbai,44,Basic,299,Credit Card,1,Success,4.24,19.28,30,17.53,1,1.38,0,1
CUST_00184,20,Female,Chennai,27,Premium,799,Debit Card,0,Success,2.9,19.62,15,70.94,0,2.22,0,0
CUST_00185,56,Male,Hyderabad,37,Basic,499,NetBanking,1,Success,1.44,20.04,22,38.15,2,0.5,0,0
CUST_00186,23,Male,Mumbai,12,Premium,499,Debit Card,0,Success,0.72,25.08,20,79.7,1,3,0,0
CUST_00187,25,Female,Chennai,23,Basic,499,NetBanking,0,Success,2.58,32.57,1,72.35,1,4.1,0,0
CUST_00188,44,Female,Mumbai,34,Standard,799,UPI,0,Success,12.78,9.71,22,89.45,1,5.15,1,0
CUST_00189,26,Female,Hyderabad,38,Basic,499,Debit Card,0,Success,0.25,38.5,79,63.74,1,2.37,0,1
CUST_00190,54,Male,Delhi,23,Basic,499,UPI,1,Success,23.54,15.55,10,76.38,2,3.72,0,0
CUST_00191,50,Female,Delhi,25,Basic,499,UPI,1,Success,1.16,27.56,72,60.86,2,2.48,0,1
CUST_00192,59,Male,Chennai,4,Standard,299,Credit Card,1,Success,2.63,24.42,1,48.21,1,0.5,0,0
CUST_00193,61,Male,Bangalore,30,Standard,499,UPI,1,Success,0.23,16.93,81,81.32,1,0.5,0,1
CUST_00194,41,Female,Hyderabad,30,Premium,499,UPI,1,Success,4.39,36.35,12,35.39,2,2.84,0,0
CUST_00195,32,Male,Chennai,13,Basic,499,UPI,1,Success,3.3,17.06,44,59.27,2,0.5,0,1
CUST_00196,49,Male,Chennai,42,Standard,499,UPI,1,Success,5.49,39.19,71,48.63,2,2.62,0,1
CUST_00197,49,Male,Delhi,14,Premium,299,Credit Card,1,Success,3.91,31.68,9,76.84,0,2.36,0,0
CUST_00198,41,Female,Mumbai,47,Basic,799,Credit Card,1,Success,2.54,17.5,80,41.07,1,0.5,1,1
CUST_00199,58,Female,Hyderabad,8,Standard,799,UPI,1,Success,6.69,13.02,87,51.82,1,0.5,0,1
CUST_00200,29,Female,Mumbai,24,Standard,799,Debit Card,1,Success,0.13,35.65,20,60.88,1,1.89,0,0
CUST_00201,56,Female,Pune,18,Basic,299,NetBanking,0,Success,3.89,13.59,0,89.75,0,5.2,0,0
CUST_00202,19,Male,Pune,35,Basic,499,Debit Card,0,Success,0.6,23.67,15,49.35,0,3.37,1,0
CUST_00203,20,Male,Hyderabad,25,Standard,799,UPI,1,Success,2.86,31.97,42,51.98,3,1.88,0,1
CUST_00204,54,Male,Bangalore,17,Basic,499,Credit Card,1,Success,7.83,29.64,5,33.04,0,1.77,0,0
CUST_00205,34,Male,Pune,32,Standard,499,UPI,1,Success,0.77,22.97,75,40.34,1,3.5,0,1
CUST_00206,19,Female,Delhi,24,Premium,799,UPI,1,Success,13.73,17.7,10,68.26,1,3.1,0,0
CUST_00207,19,Female,Bangalore,7,Standard,499,Credit Card,0,Success,10.97,32.22,81,60.64,0,3.98,1,1
CUST_00208,45,Male,Chennai,13,Standard,499,Debit Card,1,Success,2.68,6.19,65,60.96,0,5.62,0,1
CUST_00209,40,Male,Pune,27,Basic,299,NetBanking,1,Success,0.03,27.6,48,94.82,1,4.63,0,1
CUST_00210,54,Male,Delhi,5,Premium,299,UPI,1,Success,7.8,12.03,19,26.55,3,4.6,1,0
CUST_00211,49,Male,Chennai,36,Basic,299,Credit Card,0,Failed,10.64,16.23,20,100,0,2.79,0,0
CUST_00212,50,Female,Bangalore,26,Standard,799,NetBanking,1,Success,0.96,28.68,35,83.57,1,0.5,1,1
CUST_00213,18,Male,Hyderabad,42,Premium,499,NetBanking,0,Success,12.4,17.5,37,53.48,2,0.5,0,1
CUST_00214,36,Male,Chennai,45,Standard,499,NetBanking,1,Success,12.27,36.57,55,67.82,2,3.67,0,1
CUST_00215,19,Female,Mumbai,31,Standard,799,Credit Card,1,Success,3.19,32.06,10,46.34,1,2.1,0,0
CUST_00216,61,Male,Hyderabad,10,Standard,499,UPI,0,Success,8,18.02,17,66.38,1,5.4,0,0
CUST_00217,43,Female,Hyderabad,46,Basic,499,Credit Card,1,Success,2.94,22.75,80,100,3,5.14,0,1
CUST_00218,49,Male,Bangalore,26,Premium,299,UPI,1,Success,4.15,13.96,44,47.07,1,3.12,1,1
CUST_00219,23,Female,Bangalore,22,Basic,799,Debit Card,0,Success,1.93,29.73,25,55.36,2,2.21,0,0
CUST_00220,49,Other,Delhi,12,Standard,299,NetBanking,1,Failed,0.87,40.68,58,44.86,0,1.57,0,0
CUST_00221,21,Female,Delhi,32,Basic,299,UPI,0,Success,6.86,13.05,5,48.08,1,5.36,0,0
CUST_00222,28,Male,Mumbai,27,Premium,299,Debit Card,0,Success,0.01,26.88,42,51.95,1,3.19,1,1
CUST_00223,34,Female,Hyderabad,33,Basic,299,Credit Card,1,Success,4.33,28.23,51,38.1,0,1.89,0,1
CUST_00224,55,Male,Mumbai,20,Standard,299,NetBanking,1,Success,10,12.5,61,54.73,2,2.81,1,1
CUST_00225,41,Male,Mumbai,39,Standard,499,UPI,1,Success,1.25,14.92,16,61.08,1,2.59,0,0
CUST_00226,22,Male,Bangalore,41,Standard,299,NetBanking,0,Success,2.02,6.92,76,51.94,1,5.65,1,1
CUST_00227,51,Male,Mumbai,40,Basic,499,NetBanking,1,Success,4.43,30.61,45,14.02,1,3.26,0,1
CUST_00228,23,Female,Mumbai,13,Standard,299,NetBanking,1,Success,1.42,21.4,40,56.91,0,3.02,0,1
CUST_00229,39,Female,Chennai,14,Basic,299,Credit Card,0,Success,9.4,17.74,12,59.05,0,0.95,0,0
